Accession_ID	gravy_value
P46089	0.378636363636363
P46093	0.169309392265193
O00155	0.203434903047091
O15354	0.100375203915171
Q49SQ1	0.232912912912913
Q9GZN0	0.243046875
Q14330	0.255015105740181
Q8N6U8	0.170775047258979
Q9UPC5	0.178792650918635
P32249	0.177340720221607
P35413	0.342878787878788
Q8BUD0	0.174191780821918
P0C5I1	0.189162011173184
Q9QY42	0.058983333333333
O88416	0.267581120943953
Q9EPB7	0.247083333333334
Q8K1Z6	0.259335347432024
B2RPY5	0.167816513761468
Q9R1K6	0.19792
Q3U6B2	0.201820728291317
G3N0D0	0.369575757575758
Q1JQB3	0.15671270718232
A0A3Q1MCI3	0.129465240641711
Q0VD43	0.073849918433932
F1MNE7	0.213294117647059
E1BHN7	0.249869451697128
Q3T0E9	0.271024096385542
Q2YDN1	0.169318181818182
G5E640	0.211462765957447
Q1RMI1	0.186277777777778
G1MPF9	0.335966386554622
A0A7N5PAT7	0.043058823529412
A0A7N5KK79	0.145570652173913
D2HUB2	0.076970684039088
G1MN65	0.256312684365782
A0A7N5K2R3	0.244401041666667
G1MP70	0.25821752265861
A0A7N5KFK4	0.156411657559199
G1MMN0	0.158859416445623
D2H0B9	0.173739612188366
A0A384CD49	0.364666666666667
A0A452VGG0	0.170942249240122
A0A8M1GCE4	0.149809782608696
A0A384DBA7	0.080814332247557
A0A384DPE4	0.256548672566372
A0A8M1FHR8	0.244192708333333
A0A384BKX5	0.258821752265861
A0A384CHI8	0.156102003642987
A0A384DJK0	0.156127320954907
A0A384BLR4	0.175434173669468
A0A8C8X0F9	0.368818181818182
A0A8C8Y6S2	0.166325966850829
A0A8C8XQF4	0.202506811989101
A0A8C8WTY6	0.071533442088092
A0A8C8WBG0	0.273690987124464
A0A8C8XMY8	0.244322916666667
A0A8C8WAU7	0.261299093655589
A0A8C9D6S5	0.159143897996357
A0A8C8YA70	0.192026315789474
A0A8C8WA97	0.163701657458564
M3WD20	0.298980477223427
M3X0L1	0.166325966850829
A0A5F5Y653	0.1983378746594
A0A2I2UTY3	0.07794453507341
A0A5F5XF72	0.253097345132743
A0A337SNH1	0.244322916666667
M3X8S6	0.262930513595166
A0A2I2U9P3	0.153497267759563
A0A5F5XBZ1	0.177447368421053
A0A5F5XJU1	0.159558011049724
F1STP7	0.358727272727273
P50132	0.180798898071625
A0A287AYU9	0.179123287671233
A0A5G2R7J7	0.078289902280131
A0A4X1T5A5	0.225823529411765
A0A287ANR1	0.245613577023499
A0A286ZWE5	0.258912386706949
F1RPV0	0.155027322404372
I3LGG4	0.212539682539683
A0A8D0YE26	0.185983146067416
A0A452E7L2	0.369636363636364
A0A452DRU2	0.157734806629834
A0AAJ7P3A3	0.152727272727273
A0A452FEC9	0.082052117263844
A0A452DVD8	0.212205882352941
A0A452DPD7	0.247832898172324
A0A452FQA3	0.270848484848485
A0A452FHE0	0.177619926199262
A0A452DUG2	0.217994579945799
A0A452EDR4	0.187668539325843
A0A8I3NRR3	0.360787878787879
A0A8C0S0P7	0.168898071625344
A0A8C0PBD1	0.148459383753501
A0A8I3MRZ6	0.074225122349103
A0A8C0YXT4	0.268672566371682
A0A8C0NMB2	0.2496875
A0A8C0MFA6	0.252809667673716
A0A8I3MP90	0.137037671232877
A0A8P0PQD8	0.180376811594203
A0A8I3PIK0	0.180280898876405	
