"Accession_ID"	"Entropy"
"P46089"	3.97283680542364
"P46093"	4.15107038037788
"O00155"	3.79993567743699
"O15354"	4.13093859706678
"Q49SQ1"	4.06636824291848
"Q9GZN0"	3.7984287655958
"Q14330"	4.10073943438589
"Q8N6U8"	4.1244951723989
"Q9UPC5"	4.08929962672256
"P32249"	4.16835576190114
"P35413"	4.00848919007311
"Q8BUD0"	4.12859538555913
"P0C5I1"	3.81864373718619
"Q9QY42"	4.16431378072996
"O88416"	4.06874010012355
"Q9EPB7"	3.82524101136752
"Q8K1Z6"	4.0928576084562
"B2RPY5"	4.11893133069766
"Q9R1K6"	4.10102112829814
"Q3U6B2"	4.15297597060057
"G3N0D0"	3.97222752100795
"Q1JQB3"	4.12366712604036
"A0A3Q1MCI3"	3.6982214659004
"Q0VD43"	4.1407999712641
"F1MNE7"	4.07518749927985
"E1BHN7"	3.79647302271669
"Q3T0E9"	4.11169015173672
"Q2YDN1"	4.12010669506533
"G5E640"	4.07472305723216
"Q1RMI1"	4.1592213322535
"G1MPF9"	3.97278483643328
"A0A7N5PAT7"	4.02176468514443
"A0A7N5KK79"	3.73474712654716
"D2HUB2"	4.13207941938374
"G1MN65"	4.08759166714162
"A0A7N5K2R3"	3.79583629077153
"G1MP70"	4.12747385840903
"A0A7N5KFK4"	4.11988679666513
"G1MMN0"	4.10438941002097
"D2H0B9"	4.16184217462798
"A0A384CD49"	3.96622845334565
"A0A452VGG0"	4.11831900834702
"A0A8M1GCE4"	3.74048744665903
"A0A384DBA7"	4.13229400620995
"A0A384DPE4"	4.08957039271586
"A0A8M1FHR8"	3.79800666193329
"A0A384BKX5"	4.12976355853549
"A0A384CHI8"	4.1235684038177
"A0A384DJK0"	4.11165033577495
"A0A384BLR4"	4.16268757174166
"A0A8C8X0F9"	3.97812486685715
"A0A8C8Y6S2"	4.13137894733356
"A0A8C8XQF4"	3.76209717117787
"A0A8C8WTY6"	4.13435537106425
"A0A8C8WBG0"	4.1156478024997
"A0A8C8XMY8"	3.79286538171763
"A0A8C8WAU7"	4.12039471187001
"A0A8C9D6S5"	4.12874791960473
"A0A8C8YA70"	4.12577594110098
"A0A8C8WA97"	4.16870704747925
"M3WD20"	4.05969485674137
"M3X0L1"	4.12911760184231
"A0A5F5Y653"	3.76034850742233
"A0A2I2UTY3"	4.13298457711358
"A0A5F5XF72"	4.07851574458276
"A0A337SNH1"	3.79286538171763
"M3X8S6"	4.11445854685466
"A0A2I2U9P3"	4.12997397088257
"A0A5F5XBZ1"	4.1339969094037
"A0A5F5XJU1"	4.17321454197581
"F1STP7"	3.99829218011492
"P50132"	4.13096685655891
"A0A287AYU9"	3.72618542962364
"A0A5G2R7J7"	4.14804201046028
"A0A4X1T5A5"	4.08307752526356
"A0A287ANR1"	3.80099426883703
"A0A286ZWE5"	4.11203952863577
"F1RPV0"	4.13794347292516
"I3LGG4"	4.10228677852454
"A0A8D0YE26"	4.15541683549592
"A0A452E7L2"	3.96490874839335
"A0A452DRU2"	4.11802034728057
"A0AAJ7P3A3"	3.71873837180681
"A0A452FEC9"	4.15161326793148
"A0A452DVD8"	4.07591059366789
"A0A452DPD7"	3.78806614959724
"A0A452FQA3"	4.09196395112355
"A0A452FHE0"	4.13128874035836
"A0A452DUG2"	4.06537342266582
"A0A452EDR4"	4.15661624374493
"A0A8I3NRR3"	3.96879893471251
"A0A8C0S0P7"	4.13010523322865
"A0A8C0PBD1"	3.45319516432974
"A0A8I3MRZ6"	4.12535516502381
"A0A8C0YXT4"	4.07415535622722
"A0A8C0NMB2"	3.76566442014095
"A0A8C0MFA6"	4.12430301388041
"A0A8I3MP90"	4.1466130911285
"A0A8P0PQD8"	4.08959017935029
"A0A8I3PIK0"	4.16300052801758	
